timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2024-04-19 10:34:20.252609,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2024-04-19 10:34:20.276121,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2024-04-19 10:34:20.294490,"(0.1136174127459526, 0.35540205240249634)",1,"(0.11404397338628769, 0.36022236943244934)",1,4.3770294189453125,1,4.5831146240234375,1
2024-04-19 10:34:20.310868,"(0.12057899683713913, 0.3464225232601166)",1,"(0.08907215297222137, 0.3487788438796997)",1,4.367431640625,1,4.6660614013671875,1
2024-04-19 10:34:20.327049,"(0.0978446751832962, 0.25703561305999756)",1,"(0.06838563829660416, 0.276467502117157)",1,4.6967315673828125,1,4.9359588623046875,1
2024-04-19 10:34:20.344540,"(0.09678386151790619, 0.2483810931444168)",1,"(0.06276699900627136, 0.26191040873527527)",1,4.709564208984375,1,4.96282958984375,1
2024-04-19 10:34:20.360619,"(0.0900254100561142, 0.24686163663864136)",1,"(0.052560120820999146, 0.2504134178161621)",1,4.73583984375,1,4.9811553955078125,1
2024-04-19 10:34:20.376490,"(0.0896025076508522, 0.24295322597026825)",1,"(0.04959680512547493, 0.24837103486061096)",1,4.739898681640625,1,4.989532470703125,1
2024-04-19 10:34:20.394243,"(0.08838051557540894, 0.24791564047336578)",1,"(0.049328677356243134, 0.2524019777774811)",1,4.7481536865234375,1,5.0031585693359375,1
2024-04-19 10:34:20.410563,"(0.08608392626047134, 0.2444704920053482)",1,"(0.051534540951251984, 0.2507094740867615)",1,4.7432861328125,1,5.0073394775390625,1
2024-04-19 10:34:20.427136,"(0.0825115293264389, 0.24186335504055023)",1,"(0.04930971562862396, 0.25021690130233765)",1,4.7476806640625,1,5.0145721435546875,1
2024-04-19 10:34:20.444702,"(0.08181115984916687, 0.24621373414993286)",1,"(0.04080326855182648, 0.2533125877380371)",1,4.74090576171875,1,4.9958648681640625,1
2024-04-19 10:34:20.460160,"(0.08454439043998718, 0.23859752714633942)",1,"(0.051397908478975296, 0.24331702291965485)",1,4.7489471435546875,1,4.9827728271484375,1
2024-04-19 10:34:20.476533,"(0.08558185398578644, 0.23138786852359772)",1,"(0.04993218183517456, 0.2446540743112564)",1,4.7400665283203125,1,4.9793548583984375,1
2024-04-19 10:34:20.494192,"(0.09118513017892838, 0.22076864540576935)",1,"(0.05105019360780716, 0.2439996898174286)",1,4.7395172119140625,1,4.9648284912109375,1
2024-04-19 10:34:20.509542,"(0.08683806657791138, 0.22773312032222748)",1,"(0.0469757504761219, 0.2405785620212555)",1,4.73077392578125,1,4.9698486328125,1
2024-04-19 10:34:20.526739,"(0.08170867711305618, 0.23255835473537445)",1,"(0.050157807767391205, 0.24108879268169403)",1,4.71221923828125,1,4.9494781494140625,1
2024-04-19 10:34:20.543926,"(0.08038860559463501, 0.2352871298789978)",1,"(0.05023713409900665, 0.23761548101902008)",1,4.6934661865234375,1,4.9407196044921875,1
2024-04-19 10:34:20.559553,"(0.07833974063396454, 0.23942896723747253)",1,"(0.05069873109459877, 0.2351764738559723)",1,4.6986083984375,1,4.9345855712890625,1
2024-04-19 10:34:20.576461,"(0.08458031713962555, 0.22344957292079926)",1,"(0.04957055300474167, 0.23750261962413788)",1,4.6975250244140625,1,4.9393768310546875,1
2024-04-19 10:34:20.593701,"(0.08401984721422195, 0.2233131229877472)",1,"(0.04882976412773132, 0.22844524681568146)",1,4.6897430419921875,1,4.9551849365234375,1
2024-04-19 10:34:20.609738,"(0.08334211260080338, 0.22383950650691986)",1,"(0.04574325680732727, 0.23370049893856049)",1,4.6912841796875,1,4.955230712890625,1
2024-04-19 10:34:20.626545,"(0.08915764838457108, 0.22137536108493805)",1,"(0.046919140964746475, 0.24062712490558624)",1,4.70269775390625,1,4.938323974609375,1
2024-04-19 10:34:20.643514,"(0.08683282881975174, 0.22918854653835297)",1,"(0.04497547075152397, 0.23669271171092987)",1,4.69622802734375,1,4.9373931884765625,1
2024-04-19 10:34:20.659265,"(0.08388558775186539, 0.22937437891960144)",1,"(0.04515863209962845, 0.23238146305084229)",1,4.6881256103515625,1,4.9329071044921875,1
2024-04-19 10:34:20.676127,"(0.08250176906585693, 0.22711798548698425)",1,"(0.05264304578304291, 0.23280782997608185)",1,4.6980438232421875,1,4.9286346435546875,1
2024-04-19 10:34:20.693095,"(0.08851221203804016, 0.2200903743505478)",1,"(0.048846833407878876, 0.23138770461082458)",1,4.6892242431640625,1,4.923828125,1
2024-04-19 10:34:20.709652,"(0.08989746868610382, 0.2183578461408615)",1,"(0.04481770843267441, 0.23020359873771667)",1,4.688507080078125,1,4.915435791015625,1
2024-04-19 10:34:20.726230,"(0.0886048898100853, 0.22462375462055206)",1,"(0.04611499235033989, 0.22717580199241638)",1,4.6925811767578125,1,4.91522216796875,1
2024-04-19 10:34:20.742948,"(0.08859480172395706, 0.22635848820209503)",1,"(0.04398242011666298, 0.2291092723608017)",1,4.683502197265625,1,4.91802978515625,1
2024-04-19 10:34:20.759257,"(0.08854261040687561, 0.2188320904970169)",1,"(0.04382847994565964, 0.2331475019454956)",1,4.680877685546875,1,4.91412353515625,1
2024-04-19 10:34:20.776195,"(0.08867567777633667, 0.21614207327365875)",1,"(0.047275811433792114, 0.23805157840251923)",1,4.677154541015625,1,4.900665283203125,1
2024-04-19 10:34:20.792627,"(0.08498454838991165, 0.22206684947013855)",1,"(0.03829360008239746, 0.24132898449897766)",1,4.66796875,1,4.93878173828125,1
2024-04-19 10:34:20.808926,"(0.08628466725349426, 0.21908466517925262)",1,"(0.038967784494161606, 0.2506539821624756)",1,4.6788177490234375,1,4.95159912109375,1
2024-04-19 10:34:20.826315,"(0.08283291757106781, 0.22447702288627625)",1,"(0.0433824323117733, 0.25413450598716736)",1,4.67181396484375,1,4.9355010986328125,1
2024-04-19 10:34:20.842534,"(0.0798579752445221, 0.2326165735721588)",1,"(0.043717995285987854, 0.2432403862476349)",1,4.6511383056640625,1,4.90618896484375,1
2024-04-19 10:34:20.859007,"(0.08060502260923386, 0.23021996021270752)",1,"(0.04306868463754654, 0.24347223341464996)",1,4.6496734619140625,1,4.8887176513671875,1
2024-04-19 10:34:20.875801,"(0.08356785029172897, 0.22523175179958344)",1,"(0.04365589842200279, 0.24402470886707306)",1,4.6516571044921875,1,4.892059326171875,1
2024-04-19 10:34:20.892469,"(0.08583369106054306, 0.22206063568592072)",1,"(0.046281762421131134, 0.24515192210674286)",1,4.6632080078125,1,4.9196929931640625,1
2024-04-19 10:34:20.908902,"(0.08248081803321838, 0.22397665679454803)",1,"(0.04742869362235069, 0.24899914860725403)",1,4.650238037109375,1,4.9163360595703125,1
2024-04-19 10:34:20.926051,"(0.08738480508327484, 0.21658791601657867)",1,"(0.04693230986595154, 0.2466328889131546)",1,4.65362548828125,1,4.919830322265625,1
2024-04-19 10:34:20.942711,"(0.08767154812812805, 0.21568132936954498)",1,"(0.045885734260082245, 0.24253393709659576)",1,4.6451263427734375,1,4.89752197265625,1
2024-04-19 10:34:20.959023,"(0.08933736383914948, 0.21154458820819855)",1,"(0.04200427979230881, 0.24515999853610992)",1,4.6461944580078125,1,4.9156646728515625,1
2024-04-19 10:34:20.975877,"(0.08705653995275497, 0.21171487867832184)",1,"(0.04044122248888016, 0.24437761306762695)",1,4.659423828125,1,4.9141845703125,1
2024-04-19 10:34:20.992230,"(0.08572885394096375, 0.21552154421806335)",1,"(0.0445365309715271, 0.23703423142433167)",1,4.6576385498046875,1,4.8976287841796875,1
2024-04-19 10:34:21.008984,"(0.08555033802986145, 0.21763311326503754)",1,"(0.043047767132520676, 0.2349628210067749)",1,4.670684814453125,1,4.9350738525390625,1
2024-04-19 10:34:21.025991,"(0.08485127985477448, 0.22092033922672272)",1,"(0.04589054733514786, 0.2257501780986786)",1,4.681243896484375,1,4.9423980712890625,1
2024-04-19 10:34:21.042270,"(0.08060850948095322, 0.22566841542720795)",1,"(0.041498295962810516, 0.2314009964466095)",1,4.6644744873046875,1,4.92266845703125,1
2024-04-19 10:34:21.058743,"(0.08318513631820679, 0.2207271158695221)",1,"(0.0474264994263649, 0.2341415137052536)",1,4.6691131591796875,1,4.912353515625,1
2024-04-19 10:34:21.075773,"(0.07954529672861099, 0.225951686501503)",1,"(0.042850203812122345, 0.2440352886915207)",1,4.66864013671875,1,4.91998291015625,1
2024-04-19 10:34:21.092054,"(0.08381269127130508, 0.22254928946495056)",1,"(0.04586540535092354, 0.24467594921588898)",1,4.68536376953125,1,4.91619873046875,1
2024-04-19 10:34:21.108772,"(0.08449449390172958, 0.2201913297176361)",1,"(0.04049395024776459, 0.2440847009420395)",1,4.6993865966796875,1,4.9547882080078125,1
2024-04-19 10:34:21.125605,"(0.08588709682226181, 0.2186288833618164)",1,"(0.03518844023346901, 0.24817250669002533)",1,4.7162017822265625,1,4.9744873046875,1
2024-04-19 10:34:21.142242,"(0.0887722596526146, 0.21272654831409454)",1,"(0.03749072551727295, 0.24033939838409424)",1,4.72796630859375,1,4.9420928955078125,1
2024-04-19 10:34:21.158800,"(0.09024491906166077, 0.21354269981384277)",1,"(0.03810342028737068, 0.2417594939470291)",1,4.7325897216796875,1,4.94873046875,1
2024-04-19 10:34:21.175568,"(0.0923079401254654, 0.21175839006900787)",1,"(0.04744372144341469, 0.24158909916877747)",1,4.74078369140625,1,4.946319580078125,1
