Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((nan, nan)) 	 Right eye: ((nan, nan))
Left eye: ((0.4504810869693756, 0.3641926944255829)) 	 Right eye: ((0.5278409719467163, 0.36965256929397583))
Left eye: ((0.45423874258995056, 0.3676053583621979)) 	 Right eye: ((0.5333928465843201, 0.3711410164833069))
Left eye: ((0.4534038305282593, 0.36342522501945496)) 	 Right eye: ((0.5321708917617798, 0.3804998993873596))
Left eye: ((0.4503954350948334, 0.3581851124763489)) 	 Right eye: ((0.53501296043396, 0.37872061133384705))
Left eye: ((0.45420458912849426, 0.35130247473716736)) 	 Right eye: ((0.5392625331878662, 0.3580869734287262))
Left eye: ((0.45398470759391785, 0.3463742434978485)) 	 Right eye: ((0.5426436066627502, 0.3612799644470215))
Left eye: ((0.4511429965496063, 0.3505461513996124)) 	 Right eye: ((0.539874792098999, 0.3648509681224823))
Left eye: ((0.4520922303199768, 0.34623056650161743)) 	 Right eye: ((0.541970431804657, 0.36384567618370056))
Left eye: ((0.4536961615085602, 0.3607797920703888)) 	 Right eye: ((0.5451304316520691, 0.36365607380867004))
Left eye: ((0.45200031995773315, 0.34929564595222473)) 	 Right eye: ((0.5432252883911133, 0.36343783140182495))
Left eye: ((0.4544869363307953, 0.34535858035087585)) 	 Right eye: ((0.5371362566947937, 0.3574765920639038))
Left eye: ((0.451363742351532, 0.3398939073085785)) 	 Right eye: ((0.5442929863929749, 0.35639432072639465))
Left eye: ((0.4489428400993347, 0.3435846269130707)) 	 Right eye: ((0.5474318265914917, 0.35933753848075867))
Left eye: ((0.44952157139778137, 0.3509286642074585)) 	 Right eye: ((0.5478768944740295, 0.3500318229198456))
Left eye: ((0.45153719186782837, 0.33636733889579773)) 	 Right eye: ((0.543484091758728, 0.3446589708328247))
Left eye: ((0.4570816457271576, 0.3424985110759735)) 	 Right eye: ((0.5401315093040466, 0.3514411151409149))
Left eye: ((0.3829592764377594, 0.34954118728637695)) 	 Right eye: ((0.46260741353034973, 0.33136552572250366))
Left eye: ((0.23534835875034332, 0.36253413558006287)) 	 Right eye: ((0.316565603017807, 0.3112162947654724))
Left eye: ((0.22854487597942352, 0.363864004611969)) 	 Right eye: ((0.3029216527938843, 0.3236716389656067))
Left eye: ((0.23505695164203644, 0.3638266921043396)) 	 Right eye: ((0.3027615249156952, 0.33407869935035706))
Left eye: ((0.23756712675094604, 0.3592175543308258)) 	 Right eye: ((0.3022044599056244, 0.33243414759635925))
Left eye: ((0.24289214611053467, 0.35996752977371216)) 	 Right eye: ((0.3004162013530731, 0.3278625011444092))
Left eye: ((0.2439858764410019, 0.36107081174850464)) 	 Right eye: ((0.30269214510917664, 0.32631608843803406))
Left eye: ((0.24191436171531677, 0.3556603789329529)) 	 Right eye: ((0.30834391713142395, 0.33572205901145935))
